countryiso3code,country,region,income,cluster_k2,cluster_k3,PC1,PC2
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0,0,-3.5314334172387745,-2.0129974367406076
AGO,Angola,Sub-Saharan Africa ,Lower middle income,0,0,-2.449596953597113,0.35599892278560924
ALB,Albania,Europe & Central Asia,Upper middle income,1,1,-0.15840186091781097,0.012068155820682692
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,1,2,3.735079143578176,1.819639363411252
ARG,Argentina,Latin America & Caribbean ,Upper middle income,1,1,0.12083126834445707,1.082769846525309
ARM,Armenia,Europe & Central Asia,Upper middle income,1,1,0.761727339912397,-0.775816440579889
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,1,1,0.9990352846036833,-0.98457884603445
AUS,Australia,East Asia & Pacific,High income,1,2,2.5285425180575674,1.1451789567559412
AUT,Austria,Europe & Central Asia,High income,1,2,2.5902331726344636,0.31488253676936695
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,1,1,0.07020232105251192,1.7454879811311395
BDI,Burundi,Sub-Saharan Africa ,Low income,0,0,-4.966560965388538,-0.3451125234542241
BEL,Belgium,Europe & Central Asia,High income,1,2,3.5104230424054985,-0.6180605010221186
BEN,Benin,Sub-Saharan Africa ,Lower middle income,0,0,-3.313367551906509,0.12321182820310182
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,0,0,-3.550576926203865,-0.36437665916365486
BGD,Bangladesh,South Asia,Lower middle income,0,0,-2.421009965700932,1.030770906584925
BGR,Bulgaria,Europe & Central Asia,High income,1,2,1.4900292873516061,-0.27625104340909024
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,1,2,3.7264606900090858,2.324700865904108
BHS,"Bahamas, The",Latin America & Caribbean ,High income,1,2,2.3106003218129354,-1.752701751099039
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,1,1,0.834192770858349,0.09219787134825617
BLR,Belarus,Europe & Central Asia,Upper middle income,1,1,1.0284355021362808,0.9106070311380235
BLZ,Belize,Latin America & Caribbean ,Upper middle income,1,1,-0.27166639053011216,-1.588400610231899
BMU,Bermuda,North America,High income,1,2,3.6424642527307034,-2.7536972795219485
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,0,1,-0.8360490101996958,0.5185769095892545
BRA,Brazil,Latin America & Caribbean ,Upper middle income,1,1,0.2611506319850931,-0.04180377477350711
BRB,Barbados,Latin America & Caribbean ,High income,1,2,1.4875007777329714,-1.7691168951648995
BRN,Brunei Darussalam,East Asia & Pacific,High income,1,2,2.449047297127766,3.1688428795025745
BTN,Bhutan,South Asia,Lower middle income,0,1,-0.6921038909393935,1.1270525899808317
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,1,1,0.4372415891765782,0.3598205316464456
CAF,Central African Republic,Sub-Saharan Africa ,Low income,0,0,-4.596053036073,-0.33541081173408827
