variable,peso_PC1(w),mean_dz,contrib_a_dPC1,pct_del_total
Personas usando Internet (% poblacion),0.309,1.471,0.4542,47.4
Esperanza de vida al nacer (anios),0.375,0.567,0.2124,22.2
PBI per capita (US$ const. 2015),0.408,0.22,0.09,9.4
Poblacion urbana (% del total),0.345,0.25,0.0862,9.0
"Servicios, valor agregado (% PBI)",0.274,0.256,0.07,7.3
"Agricultura, valor agregado (% PBI)",-0.396,-0.158,0.0626,6.5
Importaciones (% PBI),0.172,0.082,0.014,1.5
Exportaciones (% PBI),0.278,0.04,0.0111,1.2
Crecimiento anual del PBI (%),-0.031,-0.336,0.0105,1.1
Formacion bruta de capital (% PBI),0.057,0.016,0.0009,0.1
"Emisiones de CO2 per capita (ton., excl. LULUCF)",0.345,-0.003,-0.0009,-0.1
"Industria, valor agregado (% PBI)",0.025,-0.061,-0.0016,-0.2
Desempleo (% fuerza laboral),0.039,-0.319,-0.0125,-1.3
Inflacion anual al consumidor (%),-0.121,0.322,-0.0389,-4.1
