,PC1_2005,PC1_2023,delta
PBI per capita (US$ const. 2015),0.9660451826025659,0.898667265685118,-0.06737791691744788
Crecimiento anual del PBI (%),-0.08805295258711807,0.06449727039964429,0.15255022298676235
Inflacion anual al consumidor (%),-0.3795929043081738,-0.26837226962009714,0.11122063468807664
Desempleo (% fuerza laboral),0.21502020300013963,0.05783881563316929,-0.15718138736697035
Formacion bruta de capital (% PBI),0.24907346867142904,0.015806518841062742,-0.2332669498303663
Exportaciones (% PBI),0.5385067885680037,0.7903191071845105,0.25181231861650677
Importaciones (% PBI),0.27581097863951276,0.5491727952252332,0.27336181658572045
"Agricultura, valor agregado (% PBI)",-0.9287382628830004,-0.9023667974728384,0.026371465410162
"Industria, valor agregado (% PBI)",0.16420817670074883,-0.03527411587441569,-0.19948229257516453
"Servicios, valor agregado (% PBI)",0.609176650082291,0.62209675522889,0.012920105146598915
Poblacion urbana (% del total),0.8482400206239952,0.7121149946419701,-0.13612502598202503
Esperanza de vida al nacer (anios),0.9257764799905641,0.7053063053824297,-0.22047017460813445
Personas usando Internet (% poblacion),0.5084379487051155,0.6211306106356937,0.11269266193057825
"Emisiones de CO2 per capita (ton., excl. LULUCF)",0.8868799907333355,0.7204419882259765,-0.16643800250735896
