componente,autovalor_obs,umbral_horn_p95,var_explicada,var_acumulada
PC1,5.677438918947706,1.5934134428263405,0.4127646758050448,0.4127646758050448
PC2,1.834099283371814,1.443354799909223,0.13067553589139938,0.5434402116964442
PC3,1.5066577887386197,1.3418353618773144,0.10518498036274684,0.648625192059191
PC4,1.0449767448347946,1.257503514870073,0.07326379553696456,0.7218889875961556
PC5,0.963310048522642,1.1832910100143226,0.06800783436888337,0.789896821965039
PC6,0.8336925112987553,1.1170830254644664,0.057216528749043885,0.8471133507140829
PC7,0.8019067516081316,1.0547581640726014,0.05574835017664032,0.9028617008907233
PC8,0.39096744842897635,0.9967420726497309,0.028586771960120563,0.9314484728508439
PC9,0.26942986579963474,0.9419197492249451,0.019718106401599125,0.951166579252443
PC10,0.242492734901578,0.8835061632443761,0.01742351059982245,0.9685900898522655
PC11,0.13732114361374473,0.830701127322127,0.009961275188995037,0.9785513650412605
PC12,0.12982041971141894,0.7775521329118404,0.009330598560817522,0.987881963602078
PC13,0.09659501648398063,0.7252856906519546,0.006962574858526724,0.9948445384606047
PC14,0.07129132373820775,0.6575107065015277,0.005155461539395267,1.0
