,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
NY.GDP.PCAP.KD,0.9348490490692669,0.07186267510778342,-0.07918739400781213,-0.1063960199037822,0.028032129008614137,-0.04373627379521251,0.010650705214481412,-0.1576618398552267,0.03538044655954731,-0.043499900234756854,-0.010345273082000197,0.1994156735795642,0.1692175438646484,0.09614482653172353
NY.GDP.MKTP.KD.ZG,0.03341405157807819,-0.11727130716579001,0.5555655393646949,-0.4614150756361582,0.5282776196725157,0.1363583387904303,-0.4086687003622902,-0.04165896764570996,-0.021839713251230596,0.026055227676374998,0.0039065664146365215,-0.03390942281650361,0.007351821839481716,0.006762788072477942
FP.CPI.TOTL.ZG,-0.1885959530610126,0.045397679209462034,-0.5511324376170036,-0.15258327981569694,-0.03513906184528315,0.746448198953872,-0.06073006301454226,-0.06069802568899831,-0.042159108511431787,-0.05919132808677529,0.007394258710592444,0.0002950142731222774,-0.014408312554383781,0.016462128736980868
SL.UEM.TOTL.ZS,0.06071353349144952,-0.25488524095882353,-0.11987153522597807,0.5175006639055514,0.7058736444335647,0.07892480144772118,0.28435444732450593,-0.06721875343091588,-0.007829153720793567,0.0038768272948165035,-0.04169389621086162,0.00705380928356799,-0.019739007776629184,0.017034555438306197
NE.GDI.TOTL.ZS,0.016741090189861533,0.37387975838507326,0.4417071278139199,-0.34468500936683233,0.057624228166976925,0.15095267238834023,0.6190816881877514,0.12511755556835366,-0.03819276931364829,-0.13391137504701706,-0.011785171474351501,0.018278529056901673,-0.0028492667940384054,-0.018638065965737718
NE.EXP.GNFS.ZS,0.695858361076757,-0.09167397582857739,0.4446190928969706,0.30689076177059854,-0.16805656414766362,0.1900604029903925,-0.17828635700693457,-0.02500880216249662,0.012696673765177614,-0.12377044305119302,-0.017223409408019485,0.16831717247438463,-0.14500537013504447,-0.05669472351084783
NE.IMP.GNFS.ZS,0.4568202856406338,-0.36729942866185455,0.510020341195248,0.3060142367848773,-0.26498879152993876,0.3242504270062537,0.06330579377013901,0.11072583212593004,0.04092375183210495,0.10945918132420376,0.0034301645404485924,-0.12477867736467062,0.09800434872015402,0.0772001606076189
NV.AGR.TOTL.ZS,-0.9188946361448337,0.0012417314195426348,0.06815257231928094,-0.08987838245331417,0.009129448806427128,0.0411665268227158,0.06618675712852681,0.12177101571160608,0.20264640406042156,0.19282979247878368,0.02843218318865384,0.13559081898061429,-0.0997683309487336,0.12666161443961896
NV.IND.TOTL.ZS,-0.0018420054506899505,0.8932900326012537,0.12355312324697579,0.29179507277145206,0.07149942294115999,-0.01556860446943881,-0.14837586457118676,-0.06698205707494774,-0.0067663519957792935,-0.11478743524946089,0.14716784697821944,-0.07908564679175069,-0.025799060307625483,0.09881983899147391
NV.SRV.TOTL.ZS,0.6274614848830572,-0.6390983655607123,-0.13438760275571301,-0.2176964750162471,-0.04038274108032097,-0.14590019968558,0.12198951279273552,-0.015221244029371925,-0.15642490454700858,-0.09870893247049953,0.1546777922693484,-0.03829844916120225,-0.1069878646472372,0.1031964332224228
SP.URB.TOTL.IN.ZS,0.7519778393611163,0.09101569969697322,-0.29436541000386357,-0.001706589217935213,0.16768300950721474,-0.0325064941733949,-0.17666639066835238,0.5184958476661614,0.06844893685053736,-0.09406358675089835,-0.04212578547387451,-0.0014094278725107511,0.005434386783121723,0.017093411689245774
SP.DYN.LE00.IN,0.8743333771774631,0.06321797159963535,-0.10477192182117448,-0.17933736071554318,-0.020036246061411776,-0.033735489271597814,0.07664787993575721,-0.19442304532548982,0.33339268573446196,-0.036352940414166875,-0.1155604689185901,-0.12460621016336464,-0.08173970461323142,0.02048087994629239
IT.NET.USER.ZS,0.895556802678538,0.1452771108381666,-0.10361194421741654,-0.04730538808040123,0.10136192634277039,0.08320693178490629,0.10383278046163151,0.01635496261112826,0.09972707207254734,0.22631762802199007,0.2262001780875882,0.019401273710292096,0.0031264489324721416,-0.10897738759654894
EN.GHG.CO2.PC.CE.AR5,0.8072995866578837,0.41629419820307745,-0.04712658228758965,-0.04694171966687412,-0.02700526228266095,-0.002255788716779144,0.020570221479143086,-0.008781938936204617,-0.2658773621002679,0.2545707499560432,-0.14422668331695673,-0.00617059868148176,-0.07901522068854545,0.043495482643239956
