countryiso3code,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,country,region,income
AFG,-3.5314334172387727,-2.0129974367406063,3.0873678408978984,2.1507134537147428,0.6617326692402509,-5.55545246093272,0.5942974689194109,0.2978236882039591,0.7098842949354307,1.4095908837066573,-1.1300175217189108,-0.45956196982850445,0.05560401386246464,-0.09112320117652199,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
AGO,-2.449596953597114,0.35599892278561024,-1.1828687295497387,1.5948967531340377,1.1735206316461884,0.058268907948588015,-1.111810915680334,0.31472486592016274,0.14581931057520958,-0.41834285285117623,-0.2741664475459311,0.7448533652520835,-0.21998987562468847,0.4085731890967342,Angola,Sub-Saharan Africa ,Lower middle income
ALB,-0.15840186091781025,0.012068155820682108,0.1432090841917499,0.39129333710632563,0.8226653690550229,0.06653175944223876,0.4294513172957368,-0.2487979922151279,1.36658311926573,0.5496138198255256,-0.21775556211984548,0.20000761167702974,-0.2854339336688366,-0.06933850556494321,Albania,Europe & Central Asia,Upper middle income
ARE,3.7350791435781754,1.8196393634112493,1.3895375671445402,0.36231157260402475,-0.9907847838678282,0.037204289062179055,-0.6076057754762226,0.19228043870988826,-0.007761081131500249,0.12235823525465739,-0.19682720857820737,-0.2790834044153965,0.060435804876035004,0.21259188567277154,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income
ARG,0.12083126834445639,1.082769846525305,-4.170238059414296,-1.0795989198267626,0.6188082944058343,2.3468920653943797,-0.2518927795845467,0.12400032122797319,0.10651083771026347,-0.24746190988635935,-0.03558412491994739,0.09897237742210972,0.026003318415443864,0.035430108219230066,Argentina,Latin America & Caribbean ,Upper middle income
ARM,0.761727339912397,-0.7758164405798884,0.9356674363538322,0.6067235669041366,1.0186448092559464,-0.07715329691581123,0.09578340919231794,0.050604715382287356,0.5369911008838057,0.21908535745880273,-0.026672823413918446,-0.09814424504807341,-0.5802143877307439,0.09383237003765606,Armenia,Europe & Central Asia,Upper middle income
ATG,0.9990352846036834,-0.9845788460344497,0.5984370923028977,-0.0007906594307259225,-0.4898148237731091,-0.04277809701065556,0.7811082591027229,-1.7907923284785117,-0.5498509726457618,-0.15426382625201268,0.008251067276340188,-0.019253153292238933,-0.03483437798964851,0.002512195086397505,Antigua and Barbuda,Latin America & Caribbean ,High income
AUS,2.528542518057565,1.1451789567559412,-1.2218464892411374,-1.2626207000817498,0.33741320797783614,-0.8740781292727278,-0.05370614638148383,-0.1290497268394551,-0.09330499797763694,0.2480221695568783,-0.2894832057964309,0.1970125417598459,0.011142123251845949,0.3325725804338122,Australia,East Asia & Pacific,High income
AUT,2.5902331726344623,0.3148825367693652,-0.2647242683647839,0.08087345481195099,-0.40723652805425636,0.19065348528321027,0.5508756349207924,-0.5215012593198942,0.07573881233302003,-0.2312921143103124,-0.04389069660901893,0.1100992300072329,0.227916933207908,-0.009984258830685587,Austria,Europe & Central Asia,High income
AZE,0.07020232105251174,1.7454879811311383,-0.27646934851865873,1.092084421052419,0.12060807643111306,0.2162399014443426,-0.8067280971006722,-0.522226184729595,0.3585194557133771,0.3636990284575072,0.2849767211288673,0.023281295138533022,-0.15811498336899565,-0.4286644619531433,Azerbaijan,Europe & Central Asia,Upper middle income
BDI,-4.966560965388536,-0.3451125234542243,-0.2891269204059102,-1.093955373630385,-1.6653164298894743,0.6353817218545738,-0.9820314131743814,-0.1773194283977209,-0.18140814481546935,-0.266037260565034,-0.5155007749158161,-0.28626021684861896,-0.3814317478463703,-0.08598045833045198,Burundi,Sub-Saharan Africa ,Low income
BEL,3.510423042405499,-0.6180605010221178,0.25170551621664516,0.1430487755216554,-0.3852875365726572,0.08105471696060258,0.33054252806920925,0.2551962242291976,-0.0013495982194324761,-0.28291275245222725,-0.25285718254432576,-0.0005068632646345138,0.08108655082147205,0.08179358261152629,Belgium,Europe & Central Asia,High income
BEN,-3.31336755190651,0.12321182820310105,1.040449432279904,-1.4930985785668416,-0.5009358418211782,-0.6603865990666941,0.32862600971678574,1.1527586789337472,-0.43119855870624524,-0.4234729543790594,-0.19742659812972876,0.6055509591160904,0.14608722126656842,-0.32435190637729605,Benin,Sub-Saharan Africa ,Lower middle income
BFA,-3.5505769262038647,-0.36437665916365475,1.0633512621794807,0.5416209071586656,-0.5633998577918421,-1.0846963581198665,-0.4386675961844372,-0.12703797133637215,-0.42252262230523524,-0.18326219847776057,0.02700382662884912,0.11051296959124865,-0.10749006390461728,-0.11293476307160775,Burkina Faso,Sub-Saharan Africa ,Low income
BGD,-2.4210099657009314,1.030770906584925,-0.01686336067879046,-1.2643525941750067,0.1806803398824712,-0.3052271138851317,0.4638926090904452,-0.9118730939684615,0.20563695937339552,-0.8196414740835074,0.10911949882819712,-0.6591538621514459,-0.20662362762368863,0.06377503590084671,Bangladesh,South Asia,Lower middle income
BGR,1.4900292873516063,-0.27625104340908996,-0.24553889428875422,0.2515710421429958,-0.5411870851065624,0.3096137726832728,-0.41826063659741997,0.12350161012412371,-0.3572565730244377,0.005767344143973919,-0.1179970510891105,-0.05538792837355168,-0.23977729698285857,-0.09007568153098719,Bulgaria,Europe & Central Asia,High income
BHR,3.7264606900090866,2.3247008659041075,1.290537311332431,-0.2159309868046872,-1.2316232367833888,-0.6802231292102938,-0.7006893439682572,0.9546462445020794,-0.3566984845387865,0.07442869505387345,-0.38117282630539123,-0.43828595531474507,0.07038372078919405,-0.29217072469318534,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income
BHS,2.3106003218129363,-1.7527017510990393,-0.7946422333105964,-0.49587105949093907,0.6177230825282539,-0.857799416493058,0.566788185337829,0.16563689539225845,-0.8023788755028212,-0.38142567123438775,0.16886682700221145,0.2832781457053885,0.4376724300710448,-0.5171852075161931,"Bahamas, The",Latin America & Caribbean ,High income
BIH,0.8341927708583492,0.09219787134825631,0.25850146567807486,0.48593389195734743,0.4185274546744183,0.3013352522527876,0.9396525772510436,-0.5332587912672051,-0.09834693894499791,0.5159598352754471,-0.37211316063386984,-0.24887907849295365,-0.34769164875868047,-0.1298011588959818,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income
BLR,1.0284355021362805,0.9106070311380231,0.7447722295925242,0.3308952724309837,-0.39337671417336306,0.3931050262569595,-0.4276689529496585,0.8042760213415974,0.25251371288445273,0.5441040637432086,0.08846070837990794,0.12344994086410027,-0.21406566401628055,-0.1625328874886515,Belarus,Europe & Central Asia,Upper middle income
BLZ,-0.27166639053011243,-1.5884006102318986,0.12433500039880388,0.6489457291615887,-0.18709547816641772,-0.1708210931077229,0.3198334691358937,-0.6786089131704789,0.33989547285615973,0.0560010592883677,0.11324750290566932,0.44885347881779764,-0.2324697981762536,-0.26016664500009706,Belize,Latin America & Caribbean ,Upper middle income
BMU,3.642464252730703,-2.753697279521947,-2.056096211526392,-1.3272227965265,0.4065384119533636,-1.3806053361053798,-0.7714861965220544,-0.11047649739566075,-0.33384256427405723,-0.6306446297780369,-0.14273622978611544,0.7514329032579607,-0.0279441289963124,-0.25812910737012973,Bermuda,North America,High income
BOL,-0.8360490101996961,0.5185769095892542,-0.4293049783926695,-0.16297816205041674,-0.10299058738776636,-1.0544586231848958,-0.6547709812268253,0.6534736507860309,-0.033551232470807456,0.2847019075782918,0.6515094418192378,-0.04969186511045965,0.028927046213418333,-0.24477714112075316,Bolivia,Latin America & Caribbean ,Lower middle income
BRA,0.26115063198509286,-0.04180377477350733,-1.7521873459445798,-0.31558293549624983,1.210680235163699,-1.2123502882624297,-0.4805631940565039,0.3622663034262347,0.40353622699990993,0.06304118798896025,0.12909804757489596,0.10765431539393792,-0.009973458356139872,-0.22171103270016285,Brazil,Latin America & Caribbean ,Upper middle income
BRB,1.4875007777329705,-1.7691168951648988,0.1736873649691853,-0.24307622006923724,-0.15790996677703922,-0.4826074883334119,0.5584163888145148,-0.42090853164965053,-0.4670229309273428,-0.6156552210261298,-0.11816213744285542,0.19589238652361385,0.10270450583434391,-0.03633877229220017,Barbados,Latin America & Caribbean ,High income
BRN,2.4490472971277657,3.1688428795025736,1.2958821001333354,1.4032652608497846,0.006887345019396505,-0.3635548373144589,0.01448946075250511,0.04536982502221312,-0.5043912224608288,0.3648458840766127,-0.15019879612787865,0.06669497132518212,0.35009533082528327,-0.11386612292984058,Brunei Darussalam,East Asia & Pacific,High income
BTN,-0.6921038909393932,1.127052589980832,1.6773069034020842,-1.2227933194804725,-0.261141133826124,0.40824324128965583,2.027657768454839,0.2724820889343396,0.3139804083515778,0.1496328864370277,0.7970768607699099,-0.09661731840106334,-0.06197486153217108,-0.22870142639533336,Bhutan,South Asia,Lower middle income
BWA,0.43724158917657835,0.3598205316464452,-0.0447713842900454,0.9768395322834251,1.8151411981481846,-0.07171908522616117,1.1126387158403588,0.03236498115203965,-0.876452069037423,-0.6987301660673363,0.44930842336579546,-0.19064604984302985,0.23655915918827927,-0.26898476448659253,Botswana,Sub-Saharan Africa ,Upper middle income
CAF,-4.596053036072999,-0.33541081173408877,0.28971150632297454,0.6036162120477113,0.09239114600787947,-0.7314188362905757,0.15747286945828395,0.8485319165390024,-0.435817063314517,-0.19395907666421447,-0.5134600712352717,0.08120814928211449,0.2058140816239617,-0.14040184428473984,Central African Republic,Sub-Saharan Africa ,Low income
