,0,1
PBI per capita (US$ const. 2015),1438.71913480694,14932.8851363122
Crecimiento anual del PBI (%),4.189144367059855,2.25925322283285
Inflacion anual al consumidor (%),7.12697482131851,5.00059903091312
Desempleo (% fuerza laboral),3.72,5.563
Formacion bruta de capital (% PBI),23.4061516163008,22.9633348970856
Exportaciones (% PBI),22.67921717480375,44.88633025388345
Importaciones (% PBI),34.4436607185627,50.89586916370625
"Agricultura, valor agregado (% PBI)",19.1616076506323,2.97223589780661
"Industria, valor agregado (% PBI)",25.4644896482405,24.1654263411547
"Servicios, valor agregado (% PBI)",47.9646258450637,60.3390922693796
Poblacion urbana (% del total),41.182162303122354,74.0062548602828
Esperanza de vida al nacer (anios),66.917,77.725
Personas usando Internet (% poblacion),42.24380112,87.125780225
"Emisiones de CO2 per capita (ton., excl. LULUCF)",0.5386356720628075,4.3976406601897455
