,0,1,2
PBI per capita (US$ const. 2015),1177.76649647177,6146.8009304468505,33208.9230583541
Crecimiento anual del PBI (%),4.17524257571303,3.55750214870881,1.5342683427957349
Inflacion anual al consumidor (%),7.527105091551926,5.86910359896119,4.31128191898672
Desempleo (% fuerza laboral),3.375,8.129,4.022
Formacion bruta de capital (% PBI),22.8160132458418,23.4061516163008,22.945604914169948
Exportaciones (% PBI),21.2061781517824,36.6023261927194,58.4867595713944
Importaciones (% PBI),32.84605294349285,47.6042820228867,56.6661552513376
"Agricultura, valor agregado (% PBI)",22.56348493344495,7.191048933990119,1.50836405368636
"Industria, valor agregado (% PBI)",24.8072764128082,24.984262266053697,23.6677353518388
"Servicios, valor agregado (% PBI)",46.44331193923315,57.24430332355945,63.9079515293954
Poblacion urbana (% del total),35.7149783148407,63.6225231389585,80.100026060517
Esperanza de vida al nacer (anios),65.86,73.494,81.71329268292685
Personas usando Internet (% poblacion),32.31560135,80.589908955,93.25476281
"Emisiones de CO2 per capita (ton., excl. LULUCF)",0.374747657827139,2.56859376402643,6.11076923076923
