anio,variable,frac_faltante
2005,NY.GDP.PCAP.KD,0.01
2005,NY.GDP.MKTP.KD.ZG,0.01
2005,FP.CPI.TOTL.ZG,0.109
2005,SL.UEM.TOTL.ZS,0.068
2005,NE.GDI.TOTL.ZS,0.146
2005,NE.EXP.GNFS.ZS,0.104
2005,NE.IMP.GNFS.ZS,0.104
2005,NV.AGR.TOTL.ZS,0.036
2005,NV.IND.TOTL.ZS,0.047
2005,NV.SRV.TOTL.ZS,0.062
2005,SP.URB.TOTL.IN.ZS,0.0
2005,SP.DYN.LE00.IN,0.0
2005,IT.NET.USER.ZS,0.026
2005,EN.GHG.CO2.PC.CE.AR5,0.021
2023,NY.GDP.PCAP.KD,0.0
2023,NY.GDP.MKTP.KD.ZG,0.0
2023,FP.CPI.TOTL.ZG,0.089
2023,SL.UEM.TOTL.ZS,0.089
2023,NE.GDI.TOTL.ZS,0.12
2023,NE.EXP.GNFS.ZS,0.11
2023,NE.IMP.GNFS.ZS,0.11
2023,NV.AGR.TOTL.ZS,0.037
2023,NV.IND.TOTL.ZS,0.031
2023,NV.SRV.TOTL.ZS,0.031
2023,SP.URB.TOTL.IN.ZS,0.0
2023,SP.DYN.LE00.IN,0.0
2023,IT.NET.USER.ZS,0.073
2023,EN.GHG.CO2.PC.CE.AR5,0.026
