variable,label,skew_2005,skew_2021,skew_comb,min_comb,max_comb,tiene_negativos,tiene_ceros
NY.GDP.PCAP.KD,PBI per capita (US$ const. 2015),2.011,2.113,2.137,250.88,115124.72,False,False
NY.GDP.MKTP.KD.ZG,Crecimiento anual del PBI (%),0.847,5.572,4.731,-29.43,75.31,True,False
FP.CPI.TOTL.ZG,Inflacion anual al consumidor (%),2.276,7.386,9.559,-4.64,221.34,True,False
SL.UEM.TOTL.ZS,Desempleo (% fuerza laboral),1.764,2.153,1.918,0.13,37.32,False,False
NE.GDI.TOTL.ZS,Formacion bruta de capital (% PBI),0.757,0.028,0.403,-3.74,61.22,True,True
NE.EXP.GNFS.ZS,Exportaciones (% PBI),3.544,2.288,2.879,1.11,262.69,False,False
NE.IMP.GNFS.ZS,Importaciones (% PBI),3.011,1.686,2.35,1.37,240.51,False,False
NV.AGR.TOTL.ZS,"Agricultura, valor agregado (% PBI)",1.436,1.083,1.347,0.02,66.03,False,False
NV.IND.TOTL.ZS,"Industria, valor agregado (% PBI)",1.383,1.117,1.271,2.09,80.97,False,False
NV.SRV.TOTL.ZS,"Servicios, valor agregado (% PBI)",0.013,0.142,0.056,18.0,91.46,False,False
SP.URB.TOTL.IN.ZS,Poblacion urbana (% del total),-0.017,-0.176,-0.103,9.18,100.0,False,False
SP.DYN.LE00.IN,Esperanza de vida al nacer (anios),-0.722,-0.355,-0.742,43.61,85.71,False,False
IT.NET.USER.ZS,Personas usando Internet (% poblacion),1.273,-0.971,0.132,0.07,100.0,False,False
EN.GHG.CO2.PC.CE.AR5,"Emisiones de CO2 per capita (ton., excl. LULUCF)",5.183,5.875,5.5,0.0,87.55,False,False
