iso,perc_e,perc_m,dperc,tier_e,tier_m,pc1_e,pc1_m,country,region
AFG,4.6875,16.230366492146597,11.542866492146597,0,0,-4.30792882583448,-2.255978205493489,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan"
AGO,26.5625,20.94240837696335,-5.62009162303665,0,0,-2.1526163063067463,-1.7265204623861587,Angola,Sub-Saharan Africa 
ALB,36.45833333333333,42.93193717277487,6.4736038394415445,0,1,-1.2485222783611325,0.22924150955818104,Albania,Europe & Central Asia
ARE,93.22916666666666,96.33507853403141,3.105911867364753,1,1,2.762925674412003,4.0075150959184915,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan"
ARG,60.416666666666664,43.97905759162304,-16.437609075043625,1,1,0.07940276130086112,0.24555088222405044,Argentina,Latin America & Caribbean 
ARM,43.75,57.06806282722513,13.318062827225127,1,1,-0.7187771814561293,1.1783709325354401,Armenia,Europe & Central Asia
ATG,69.27083333333334,64.3979057591623,-4.872927574171044,1,1,1.0108003524457398,1.4265345625491166,Antigua and Barbuda,Latin America & Caribbean 
AUS,86.45833333333334,85.34031413612566,-1.118019197207687,1,1,2.3491970716860915,2.799661637851625,Australia,East Asia & Pacific
AUT,87.5,89.00523560209425,1.5052356020942455,1,1,2.4178868766050132,2.898106999448316,Austria,Europe & Central Asia
AZE,39.0625,46.07329842931937,7.010798429319372,0,1,-1.1119733840372032,0.4390981621955748,Azerbaijan,Europe & Central Asia
BDI,0.5208333333333333,1.5706806282722512,1.049847294938918,0,0,-5.007953407729931,-4.2016455700209745,Burundi,Sub-Saharan Africa 
BEL,98.4375,94.76439790575915,-3.6731020942408463,1,1,3.190670202120977,3.8007215963116843,Belgium,Europe & Central Asia
BEN,10.416666666666668,14.136125654450263,3.719458987783595,0,0,-3.68670982278681,-2.441269564258632,Benin,Sub-Saharan Africa 
BFA,3.6458333333333335,10.471204188481675,6.825370855148341,0,0,-4.417181047133063,-2.6482925828495407,Burkina Faso,Sub-Saharan Africa 
BGD,16.666666666666664,19.895287958115183,3.228621291448519,0,0,-3.1643635502582317,-1.7876532006468404,Bangladesh,South Asia
BGR,64.58333333333334,71.72774869109948,7.144415357766135,1,1,0.4623172849509037,1.8578444685346822,Bulgaria,Europe & Central Asia
BHR,93.75,96.8586387434555,3.1086387434555007,1,1,2.8149274199456027,4.079157325748308,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan"
BHS,82.8125,83.24607329842932,0.433573298429323,1,1,2.035563943967472,2.6832326308411036,"Bahamas, The",Latin America & Caribbean 
BIH,53.645833333333336,59.68586387434554,6.040030541012207,1,1,-0.19040765952126873,1.2324326361255664,Bosnia and Herzegovina,Europe & Central Asia
BLR,55.208333333333336,63.35078534031413,8.142452006980797,1,1,-0.16372447733297518,1.395639053742181,Belarus,Europe & Central Asia
BLZ,52.083333333333336,41.8848167539267,-10.198516579406636,1,1,-0.2909996078867241,0.210293455392696,Belize,Latin America & Caribbean 
BOL,31.25,34.55497382198953,3.3049738219895275,0,0,-1.616737327469513,-0.3149044672467521,Bolivia,Latin America & Caribbean 
BRA,50.0,50.26178010471204,0.26178010471203805,1,1,-0.39192741637628253,0.6413204683582409,Brazil,Latin America & Caribbean 
BRB,77.08333333333334,73.82198952879581,-3.261343804537532,1,1,1.454389624600434,1.9693139943804703,Barbados,Latin America & Caribbean 
BRN,78.125,89.52879581151832,11.403795811518322,1,1,1.562530365746061,2.9097921943395257,Brunei Darussalam,East Asia & Pacific
BTN,27.604166666666668,36.64921465968586,9.045047993019192,0,0,-1.873555454157785,-0.18777887956606001,Bhutan,South Asia
BWA,42.70833333333333,54.973821989528794,12.265488656195465,0,1,-0.769871607827405,1.0172613461358824,Botswana,Sub-Saharan Africa 
CAF,4.166666666666666,3.664921465968586,-0.50174520069808,0,0,-4.368233217507163,-3.595411799989452,Central African Republic,Sub-Saharan Africa 
CAN,92.70833333333334,86.38743455497382,-6.3208987783595205,1,1,2.716896812484439,2.827528787813914,Canada,North America
CHE,96.875,95.81151832460732,-1.06348167539268,1,1,3.130968594761835,3.8353255655222402,Switzerland,Europe & Central Asia
CHL,70.3125,70.68062827225131,0.36812827225131173,1,1,1.0630261812196455,1.841874985452075,Chile,Latin America & Caribbean 
CHN,42.1875,59.16230366492147,16.974803664921467,0,1,-0.8104415037925061,1.2240935325817954,China,East Asia & Pacific
CIV,19.791666666666664,18.848167539267017,-0.9434991273996474,0,0,-3.0327071233751073,-1.825219592899712,Cote d'Ivoire,Sub-Saharan Africa 
CMR,21.354166666666664,17.277486910994764,-4.0766797556719006,0,0,-2.862245358519314,-2.1807364295035025,Cameroon,Sub-Saharan Africa 
COD,8.854166666666668,16.75392670157068,7.899760034904013,0,0,-3.9148592045915978,-2.18797155303474,"Congo, Dem. Rep.",Sub-Saharan Africa 
COG,35.41666666666667,28.79581151832461,-6.620855148342063,0,0,-1.345661425907584,-0.767902950768792,"Congo, Rep.",Sub-Saharan Africa 
COL,44.27083333333333,41.361256544502616,-2.9095767888307122,1,1,-0.7067110075311926,0.2094089542246032,Colombia,Latin America & Caribbean 
COM,11.979166666666668,7.329842931937172,-4.649323734729496,0,0,-3.4223475779726424,-2.8999261235457685,Comoros,Sub-Saharan Africa 
CPV,55.729166666666664,55.497382198952884,-0.23178446771377992,1,1,-0.15056017727241633,1.0528483833634403,Cabo Verde,Sub-Saharan Africa 
CRI,63.541666666666664,68.06282722513089,4.521160558464224,1,1,0.16612660999270806,1.7660023111631518,Costa Rica,Latin America & Caribbean 
CUB,62.5,70.15706806282722,7.657068062827221,1,1,0.13189210223881442,1.832803679644775,Cuba,Latin America & Caribbean 
CYP,81.25,92.14659685863874,10.896596858638745,1,1,2.0201327879212294,3.350293421776874,Cyprus,Europe & Central Asia
CZE,80.72916666666666,79.58115183246073,-1.1480148342059238,1,1,1.9694434341097247,2.481572215388264,Czechia,Europe & Central Asia
DEU,91.14583333333334,87.95811518324608,-3.187718150087264,1,1,2.6283827139333487,2.853781306550965,Germany,Europe & Central Asia
DMA,57.8125,40.83769633507853,-16.974803664921467,1,1,-0.046567402838229674,0.17304610391556446,Dominica,Latin America & Caribbean 
DNK,94.79166666666666,92.67015706806284,-2.121509598603822,1,1,2.913510934544184,3.3841889555557465,Denmark,Europe & Central Asia
DOM,47.91666666666667,52.35602094240838,4.439354275741707,1,1,-0.4298789207751028,0.8308413410012686,Dominican Republic,Latin America & Caribbean 
DZA,49.47916666666667,39.79057591623037,-9.688590750436305,1,1,-0.39496262212846023,0.0804628438729388,Algeria,"Middle East, North Africa, Afghanistan & Pakistan"
ECU,47.39583333333333,47.64397905759162,0.2481457242582934,1,1,-0.46473941680716196,0.4768037385274437,Ecuador,Latin America & Caribbean 
EGY,33.33333333333333,25.654450261780106,-7.678883071553223,0,0,-1.4883950773487928,-1.05493483590912,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan"
ESP,79.6875,81.67539267015707,1.9878926701570663,1,1,1.764753824513368,2.58185006344994,Spain,Europe & Central Asia
EST,81.77083333333334,85.86387434554975,4.093041012216403,1,1,2.0207691974544586,2.8198846797284842,Estonia,Europe & Central Asia
ETH,1.0416666666666665,1.0471204188481675,0.005453752181501015,0,0,-4.9385297011587035,-4.210792698030048,Ethiopia,Sub-Saharan Africa 
FIN,85.9375,80.6282722513089,-5.3092277486911,1,1,2.334567870349116,2.535404495422498,Finland,Europe & Central Asia
FJI,39.58333333333333,34.031413612565444,-5.551919720767884,0,0,-1.098861444314376,-0.3365724457976401,Fiji,East Asia & Pacific
FRA,83.85416666666666,82.19895287958116,-1.6552137870855006,1,1,2.060739593115747,2.6057985225775564,France,Europe & Central Asia
FRO,57.291666666666664,50.78534031413613,-6.506326352530536,1,1,-0.056498987232699235,0.6739755799236888,Faroe Islands,Europe & Central Asia
FSM,25.520833333333332,22.5130890052356,-3.0077443280977327,0,0,-2.2201420547907937,-1.4540120776088512,"Micronesia, Fed. Sts.",East Asia & Pacific
GAB,50.520833333333336,46.596858638743456,-3.92397469458988,1,1,-0.36397297991936284,0.45127169200021366,Gabon,Sub-Saharan Africa 
GBR,89.58333333333334,84.81675392670157,-4.766579406631777,1,1,2.5552166001207453,2.7983876659587197,United Kingdom,Europe & Central Asia
GEO,37.5,56.54450261780105,19.04450261780105,0,1,-1.1688888088786107,1.154116604340212,Georgia,Europe & Central Asia
GHA,18.229166666666664,19.3717277486911,1.1425610820244358,0,0,-3.1036804562096294,-1.8216613092644578,Ghana,Sub-Saharan Africa 
GIN,7.291666666666667,12.041884816753926,4.750218150087259,0,0,-4.151537196066426,-2.5994242967103967,Guinea,Sub-Saharan Africa 
GMB,18.75,15.18324607329843,-3.566753926701571,0,0,-3.0825372056333564,-2.4071965248900544,"Gambia, The",Sub-Saharan Africa 
GNB,7.8125,4.712041884816754,-3.1004581151832458,0,0,-4.133851850988068,-3.23207635103534,Guinea-Bissau,Sub-Saharan Africa 
GNQ,44.79166666666667,39.26701570680628,-5.524650959860388,0,1,-0.6915986471386918,0.07046501786010763,Equatorial Guinea,Sub-Saharan Africa 
GRC,75.52083333333334,78.53403141361257,3.013198080279224,1,1,1.3247221526336694,2.3276508732883237,Greece,Europe & Central Asia
GRD,56.770833333333336,54.45026178010471,-2.320571553228625,1,1,-0.11152644753866783,0.9303457500664083,Grenada,Latin America & Caribbean 
GRL,76.5625,69.10994764397905,-7.452552356020945,1,1,1.3412930946477462,1.811601254065605,Greenland,Europe & Central Asia
GTM,34.375,29.84293193717277,-4.5320680628272285,0,0,-1.4751773053132715,-0.636065256350532,Guatemala,Latin America & Caribbean 
GUY,34.89583333333333,31.413612565445025,-3.482220767888304,0,0,-1.4521947515113682,-0.5421695361637702,Guyana,Latin America & Caribbean 
HKG,99.47916666666666,99.47643979057592,-0.002726876090733299,1,1,4.673984441198113,5.132886229856471,"Hong Kong SAR, China",East Asia & Pacific
HND,41.66666666666667,35.07853403141361,-6.588132635253061,0,0,-0.9249390163593467,-0.27004878204276234,Honduras,Latin America & Caribbean 
HRV,67.1875,67.5392670157068,0.35176701570679825,1,1,0.8051944580998273,1.7523472405880085,Croatia,Europe & Central Asia
HTI,17.1875,8.37696335078534,-8.81053664921466,0,0,-3.1233385789936334,-2.7701884959026115,Haiti,Latin America & Caribbean 
HUN,73.95833333333334,75.39267015706807,1.434336823734725,1,1,1.2462046168635528,2.067169411055498,Hungary,Europe & Central Asia
IDN,28.125,29.31937172774869,1.1943717277486883,0,0,-1.8119578818999071,-0.6989422981202007,Indonesia,East Asia & Pacific
IND,22.916666666666664,23.036649214659686,0.11998254799302188,0,0,-2.7042762390873065,-1.3027179702289442,India,South Asia
IRL,90.625,93.717277486911,3.0922774869110015,1,1,2.5937421096001994,3.7139785875502893,Ireland,Europe & Central Asia
IRN,54.166666666666664,48.69109947643979,-5.475567190226876,1,1,-0.1880631471600218,0.5095639962225897,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan"
IRQ,41.14583333333333,51.30890052356021,10.163067190226883,0,1,-1.0577102384325787,0.774626496354417,Iraq,"Middle East, North Africa, Afghanistan & Pakistan"
ISL,90.10416666666666,90.0523560209424,-0.05181064572425953,1,1,2.571178794587268,2.9365582625306073,Iceland,Europe & Central Asia
ISR,86.97916666666666,88.48167539267016,1.502508726003498,1,1,2.36760986747066,2.8918492674919087,Israel,"Middle East, North Africa, Afghanistan & Pakistan"
ITA,79.16666666666666,77.4869109947644,-1.6797556719022566,1,1,1.7114738421154276,2.2882428742844563,Italy,Europe & Central Asia
JAM,59.375,45.0261780104712,-14.348821989528801,1,1,-0.010840736909721295,0.318728004866541,Jamaica,Latin America & Caribbean 
JOR,71.875,67.01570680628272,-4.859293193717278,1,1,1.1784403987203456,1.6363673458420702,Jordan,"Middle East, North Africa, Afghanistan & Pakistan"
JPN,84.89583333333334,87.43455497382199,2.538721640488646,1,1,2.3184967134715215,2.8329732325513035,Japan,East Asia & Pacific
KAZ,59.895833333333336,61.25654450261781,1.3607111692844711,1,1,0.026108433233977647,1.3073444464952353,Kazakhstan,Europe & Central Asia
KEN,13.541666666666666,13.089005235602095,-0.4526614310645716,0,0,-3.235152455323444,-2.552414111146399,Kenya,Sub-Saharan Africa 
KGZ,25.0,32.460732984293195,7.460732984293195,0,0,-2.3066488501028606,-0.4371600852728101,Kyrgyz Republic,Europe & Central Asia
KHM,21.875,27.748691099476442,5.873691099476442,0,0,-2.8548609291699156,-0.8301919803856534,Cambodia,East Asia & Pacific
KIR,28.645833333333332,25.13089005235602,-3.514943280977313,0,0,-1.8024744521493252,-1.1151827115346844,Kiribati,East Asia & Pacific
KNA,65.625,62.30366492146597,-3.3213350785340268,1,1,0.6854747913649333,1.3728121302650365,St. Kitts and Nevis,Latin America & Caribbean 
KOR,83.33333333333334,90.57591623036649,7.242582897033145,1,1,2.057144415940675,3.0173729132142624,"Korea, Rep.",East Asia & Pacific
KWT,91.66666666666666,93.19371727748691,1.527050610820254,1,1,2.6457826273363247,3.5523630658725303,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan"
LAO,17.708333333333336,21.465968586387437,3.757635253054101,0,0,-3.1103079856369513,-1.5450013676392609,Lao PDR,East Asia & Pacific
LBN,73.4375,47.12041884816754,-26.31708115183246,1,1,1.2157813298649087,0.47567719826582366,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan"
