countryiso3code,NY.GDP.PCAP.KD,NY.GDP.MKTP.KD.ZG,FP.CPI.TOTL.ZG,SL.UEM.TOTL.ZS,NE.GDI.TOTL.ZS,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NV.AGR.TOTL.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.ZS,SP.URB.TOTL.IN.ZS,SP.DYN.LE00.IN,IT.NET.USER.ZS,EN.GHG.CO2.PC.CE.AR5,country,region,income
ABW,29081.7066997897,-0.383137672063768,3.39778677828805,,33.160442199198,68.0752981880873,76.9749819561498,0.0173277773977134,16.2974611255338,75.541061032835,64.9580226442175,73.415,25.4,3.94633072156501,Aruba,Latin America & Caribbean ,High income
AFG,363.640141436773,11.2297148272859,12.6862687216715,7.878,,,,31.114854912062,26.8120992326398,39.0077871841904,19.7059095753667,58.247,1.22414808372471,0.052297588398106,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
AGO,2843.3966357968,14.1547775343954,22.9535138513939,16.295,28.0139948974484,58.7232661870034,36.6181931014669,8.56536731681355,56.1242984191149,35.4993259457285,56.0,52.13,1.143399954,0.810676972733782,Angola,Sub-Saharan Africa ,Lower middle income
ALB,2712.86983830331,5.13082193056189,2.36658195679795,15.966,38.3843892451909,22.4427818397267,46.6735108205055,17.1247178955729,28.1372131604488,40.3981318981217,45.9937666920583,76.427,6.04389086404814,1.3776914859669,Albania,Europe & Central Asia,Upper middle income
ARE,55363.5661047143,4.85514119553341,,3.12,20.1668488058722,67.5853113898841,51.9675602523703,1.39540987408529,55.6434763024807,42.9608649080015,82.2122832763517,80.779,40.0,26.2522643034306,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income
ARG,11099.7509190602,8.85165992013437,,11.506,18.8882641376513,23.2458767338576,17.3053942367662,7.93875427420938,28.6263140439084,48.4861459282405,90.1233737736072,75.231,17.7205833696065,3.91742679391727,Argentina,Latin America & Caribbean ,Upper middle income
ARM,2240.09273209788,13.8999999991133,0.638928002410097,10.584,35.765438994108,27.3131979500115,42.8265406335218,,,,64.5334210637509,73.0756097560976,5.252999783,1.41835113145182,Armenia,Europe & Central Asia,Upper middle income
ATG,17301.2134317518,6.47368941781741,2.09875196709308,,,,,1.32911556344139,13.5142398300804,75.4202660173805,29.1737995723752,75.364,27.0,2.16678599690997,Antigua and Barbuda,Latin America & Caribbean ,High income
AUS,50972.640519744,3.15548121323168,2.69182949622197,5.036,27.4127496143182,18.1951172148922,20.9027650415889,2.88921493532413,24.5233189129708,64.4367967376177,85.6190871221958,80.8414634146341,63.0,19.0378039300894,Australia,East Asia & Pacific,High income
AUT,40989.0131778975,2.32036514266782,2.29913785639285,5.682,23.9653234755669,48.9511516701756,45.7236031126049,1.28239498294254,27.4182050564472,60.1404134231844,66.9797950654143,79.3317073170732,58.0,9.77338007389313,Austria,Europe & Central Asia,High income
AZE,2674.3688564996,27.9615381082131,9.67950731917056,7.26,41.5348372928728,62.9411060091835,52.9007785985227,9.14753443801158,58.7877819924137,25.0852465561988,52.5028533935547,67.71,8.030400276,3.72019280611546,Azerbaijan,Europe & Central Asia,Upper middle income
BDI,250.878933475935,0.900000000901912,13.2520699188223,3.162,,,,40.8481233922949,16.9330035986109,37.1551607125713,9.1806167624459,53.053,0.542100012,0.0242510542948156,Burundi,Sub-Saharan Africa ,Low income
BEL,38645.2605193362,2.32173792911834,2.78143263670029,8.44,23.6810632000764,74.2828289213953,70.2462217485879,0.840639973990251,22.5737781481988,65.8743326615868,83.5645449743707,78.9804878048781,55.81999969,11.3572144110239,Belgium,Europe & Central Asia,High income
BEN,893.91536869992,1.71316456361184,5.36452085832342,0.859,12.0860448919113,18.483639980467,20.6122912074473,26.6894285026991,21.6135923867357,38.0187915766517,40.3097749006517,57.738,1.271000028,0.332477109339693,Benin,Sub-Saharan Africa ,Lower middle income
BFA,499.192797571217,8.66187322841225,6.41504018369684,4.0,17.5635935306702,9.84184747809064,24.3303222900142,26.7709190270281,20.1658324331189,44.5494891325644,22.0179778440204,53.271,0.469900012,0.0817032694873567,Burkina Faso,Sub-Saharan Africa ,Low income
BGD,739.203718353409,6.53594493875502,7.04661816222038,4.25,25.8304355145863,14.3928418979283,20.0040929665367,18.5710395455964,23.2998442190711,52.8799568974096,25.4769540701509,65.509,0.241600007,0.279053178068632,Bangladesh,South Asia,Lower middle income
BGR,5231.33811895255,7.05634873469204,5.0388380711191,10.083,27.7396716608631,42.5295657507757,57.1846454619625,7.28368572889434,24.2323985840088,53.5290714639992,70.0869598388672,72.5609756097561,19.97,6.8534654520215,Bulgaria,Europe & Central Asia,High income
BHR,23439.6704353038,6.76899737789502,2.58620689655172,1.021,26.7352737398905,83.8940482059345,64.4194769029886,,,,91.168165501421,76.125,21.30369949,26.2934535823821,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income
BHS,33144.7878790275,3.39608420536011,1.59160618079802,10.2,27.3367763973892,38.7598869482117,42.6363839694191,1.06443545271548,10.8090522762856,82.1953599967467,81.8605578035102,73.413,25.0,2.50251530995016,"Bahamas, The",Latin America & Caribbean ,High income
BIH,3217.81341615345,3.89718320544974,,30.218,29.4542245809708,24.3164228910803,60.0390399307182,8.29736825390212,21.4328425323645,54.6379129823724,44.1570799336802,76.424,21.3267010007738,4.11237124047325,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income
BLR,3877.71738911289,9.40000151584914,10.3388794457932,8.759,28.4604661956657,59.7978087236099,59.08654296872,8.51859080856531,37.8387848851416,39.6283221474447,72.0310134887695,68.8512195121951,,6.21065065245296,Belarus,Europe & Central Asia,Upper middle income
BLZ,6337.12389222378,2.2191905367057,-1.10431044411909,10.91,17.7739187670556,45.729283841046,47.2678427922054,9.74017200317114,17.1067830923414,62.4890490283378,46.7271194028137,70.335,17.0,0.539446825700405,Belize,Latin America & Caribbean ,Upper middle income
BOL,2156.18670325307,4.42143312687995,5.39323106890663,2.598,14.2536216336637,35.5481429306567,32.0937984307176,11.7927215329112,26.2692194219914,46.8201969433938,64.2133062205259,64.182,5.22758395663196,1.06158115040733,Bolivia,Latin America & Caribbean ,Lower middle income
BRA,7409.56827992249,3.20213206216255,6.86953720898964,10.551,17.2048834481574,15.2438292651669,11.842965940081,4.65116882266178,24.1725782850314,56.0758916063079,82.9838799596945,71.832,21.022747248827,1.99935674253319,Brazil,Latin America & Caribbean ,Upper middle income
BRB,22250.0263806215,3.95545720757542,6.08218729535043,9.08,,,,1.58659510407121,14.9456735174761,71.9348082209713,60.6389887108416,74.96,52.5,2.40299807224253,Barbados,Latin America & Caribbean ,High income
BRN,37312.2778797122,-0.0039253166074644,1.24443711883965,5.973,16.1152698630712,58.5718065403264,23.0483074751968,0.974611267785546,73.153005169136,27.7621281199365,73.552870858133,74.683,36.4663919475782,16.7426361599929,Brunei Darussalam,East Asia & Pacific,High income
BTN,1632.02169500573,6.93507146766659,5.3126310463775,3.1,61.2151499544783,36.4043942963452,61.3390192465892,18.0339346830792,34.0427943524964,42.9950210131867,30.9379917831613,65.875,3.847100019,0.82025790757934,Bhutan,South Asia,Lower middle income
BWA,5514.21742664705,4.55664565323181,8.61022528546439,19.852,25.374133887578,52.9235535447696,35.5817985125809,1.82838052405033,42.8549522076655,45.2838110727775,58.4535554684584,54.386,3.262599945,2.38640952628899,Botswana,Sub-Saharan Africa ,Upper middle income
CAF,427.968043155237,0.908210514871953,2.88352073359021,5.691,9.86481735599986,13.3627533256972,21.7081835399254,,,,38.0448510426866,48.207,0.26820001,0.0588974564039908,Central African Republic,Sub-Saharan Africa ,Low income
CAN,41006.2229523971,3.21045439063563,2.21355203439767,6.758,22.6320421110981,36.8567073235071,32.9024256932286,1.88031145780062,29.2129915241778,62.0334657453398,79.9760615882965,80.1126829268293,71.66,18.0601166179094,Canada,North America,High income
CHE,76282.9840696619,2.74969910618739,1.17195420333702,4.437,27.1892189955534,53.8541740314548,48.4069981103808,0.818619332578622,25.8270742413749,69.6331213051923,73.4951000915434,81.2365853658537,70.1,6.32417274709346,Switzerland,Europe & Central Asia,High income
CHL,10104.4208391373,5.83704571917758,3.05257621387849,9.34,23.2677008692697,40.1755720109201,31.8869622271093,3.92221193789503,34.0353024141328,52.1481091980374,86.7768244484887,78.459,31.1753006,3.6175914799259,Chile,Latin America & Caribbean ,High income
CHN,3465.81734409951,11.458238455067,1.7764140766757,4.52,40.178086700104,33.3687977498922,27.9912771909315,11.4828123533826,46.3816216984585,42.1355659992365,42.9899978637695,74.085,8.52325700269541,4.78299420120885,China,East Asia & Pacific,Upper middle income
CIV,1431.73320203111,0.996065564854788,3.88583039886481,6.023,13.8421414471747,31.8789802252367,30.9419558150439,16.0651853584803,16.2241764456125,38.8167783655946,45.082298743724,52.432,1.039199948,0.318684175934195,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income
CMR,1264.74345218659,2.22827020924117,2.01353950175986,4.4,18.6709254882433,22.2454563981154,22.7522249497324,16.734176851979,27.9657412557505,48.1626860371302,48.5837852394685,54.904,1.402699947,0.320435144753662,Cameroon,Sub-Saharan Africa ,Lower middle income
COD,351.708486411683,6.13515115548968,21.316816722934,2.948,17.1365592567105,23.1598967085384,27.8677782060181,19.8446510872333,31.706002446974,44.6160533240911,37.4018738621901,54.001,0.238000005,0.0422504365918147,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income
COG,2140.03686200251,7.75575897806648,3.09449011456181,19.796,25.9379984821473,75.0050837514178,44.5478085109842,6.10423786651851,61.7104106958137,29.4011383610328,61.310286636126,58.73,1.463400006,1.17157455930687,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income
COL,4457.27537460443,4.82876110773741,5.05101962689695,11.062,21.6562413080915,16.9710437391629,20.4516537557921,7.52726670177951,30.3481497700898,53.1705123121808,76.004938901378,73.156,11.0072638904585,1.46901976755809,Colombia,Latin America & Caribbean ,Upper middle income
COM,1274.6143662974,5.66520240193151,3.0133239505812,4.527,18.0423131684956,8.83628108070565,26.9211282431202,29.3762739037829,12.2064983176676,54.5345549922057,28.016895208368,60.883,2.0,0.228961137347999,Comoros,Sub-Saharan Africa ,Lower middle income
